index,value
0,790
1,786
2,774
3,766
4,754
5,750
6,736
7,728
8,716
9,710
10,696
11,690
12,676
13,668
14,654
15,646
16,632
17,624
18,608
19,604
20,586
21,580
22,562
23,556
24,538
25,530
26,514
27,508
28,490
29,482
30,464
31,456
32,438
33,428
34,412
35,404
36,386
37,376
38,360
39,352
40,332
41,324
42,304
43,296
44,278
45,268
46,250
47,242
48,222
49,212
50,194
51,184
52,166
53,158
54,136
55,128
56,108
57,98
58,80
59,72
60,50
61,42
62,24
63,12
64,-6
65,-14
66,-36
67,-44
68,-62
69,-74
70,-92
71,-102
72,-122
73,-132
74,-150
75,-160
76,-178
77,-186
78,-206
79,-214
80,-234
81,-244
82,-262
83,-270
84,-290
85,-298
86,-318
87,-326
88,-344
89,-354
90,-370
91,-378
92,-398
93,-406
94,-424
95,-432
96,-452
97,-458
98,-476
99,-484
100,-500
101,-510
102,-524
103,-534
104,-550
105,-558
106,-572
107,-582
108,-596
109,-606
110,-620
111,-626
112,-642
113,-648
114,-664
115,-670
116,-684
117,-692
118,-706
119,-712
120,-726
121,-732
122,-744
123,-752
124,-764
125,-770
126,-782
127,-788
128,-800
129,-804
130,-816
131,-822
132,-832
133,-840
134,-850
135,-854
136,-864
137,-868
138,-876
139,-882
140,-890
141,-896
142,-904
143,-908
144,-150
145,-142
146,-122
147,-112
148,-94
149,-86
150,-64
151,-56
152,-36
153,-26
154,-8
155,0
156,20
157,30
158,48
159,60
160,78
161,86
162,106
163,118
164,136
165,144
166,164
167,172
168,192
169,202
170,220
171,230
172,248
173,256
174,278
175,286
176,304
177,314
178,332
179,340
180,358
181,366
182,386
183,394
184,412
185,420
186,436
187,446
188,462
189,470
190,488
191,496
192,-962
193,-962
194,-954
195,-952
196,-946
197,-942
198,-938
199,-934
200,-926
201,-922
202,-914
203,-910
204,-902
205,-898
206,-890
207,-886
208,-876
209,-872
210,-862
211,-858
212,-846
213,-840
214,-830
215,-826
216,-816
217,-808
218,-798
219,-792
220,-780
221,-774
222,-760
223,-756
224,840
225,846
226,856
227,862
228,870
229,874
230,886
231,888
232,896
233,900
234,910
235,912
236,922
237,924
238,932
239,936
240,942
241,946
242,950
243,954
244,960
245,962
246,968
247,970
248,974
249,974
250,980
251,982
252,984
253,986
254,988
255,990
256,994
257,994
258,996
259,996
260,998
261,998
262,998
263,998
264,998
265,998
266,998
267,998
268,996
269,996
270,996
271,994
272,992
273,990
274,988
275,986
276,984
277,982
278,978
279,976
280,972
281,970
282,964
283,962
284,958
285,954
286,948
287,946
288,938
289,936
290,928
291,924
292,916
293,912
294,906
295,900
296,892
297,888
298,880
299,874
300,866
301,862
302,850
303,846
304,838
305,830
306,820
307,814
308,802
309,798
310,786
311,778
312,766
313,762
314,750
315,742
316,728
317,722
318,708
319,704
320,690
321,682
322,668
323,660
324,646
325,640
326,624
327,618
