index,value
0,790.0
1,786.0
2,774.0
3,766.0
4,754.0
5,750.0
6,736.0
7,728.0
8,716.0
9,710.0
10,696.0
11,690.0
12,676.0
13,668.0
14,654.0
15,646.0
16,632.0
17,624.0
18,608.0
19,604.0
20,586.0
21,580.0
22,562.0
23,556.0
24,538.0
25,530.0
26,514.0
27,508.0
28,490.0
29,482.0
30,464.0
31,456.0
32,438.0
33,428.0
34,412.0
35,404.0
36,386.0
37,376.0
38,360.0
39,352.0
40,332.0
41,324.0
42,304.0
43,296.0
44,278.0
45,268.0
46,250.0
47,242.0
48,222.0
49,212.0
50,194.0
51,184.0
52,166.0
53,158.0
54,136.0
55,128.0
56,108.0
57,98.0
58,80.0
59,72.0
60,50.0
61,42.0
62,24.0
63,12.0
64,-6.0
65,-14.0
66,-36.0
67,-44.0
68,-62.0
69,-74.0
70,-92.0
71,-102.0
72,-122.0
73,-132.0
74,-150.0
75,-160.0
76,-178.0
77,-186.0
78,-206.0
79,-214.0
80,-234.0
81,-244.0
82,-262.0
83,-270.0
84,-290.0
85,-298.0
86,-318.0
87,-326.0
88,-344.0
89,-354.0
90,-370.0
91,-378.0
92,-398.0
93,-406.0
94,-424.0
95,-432.0
96,-452.0
97,-458.0
98,-476.0
99,-484.0
100,-500.0
101,-510.0
102,-524.0
103,-534.0
104,-550.0
105,-558.0
106,-572.0
107,-582.0
108,-596.0
109,-606.0
110,-620.0
111,-626.0
112,-642.0
113,-648.0
114,-664.0
115,-670.0
116,-684.0
117,-692.0
118,-706.0
119,-712.0
120,-726.0
121,-732.0
122,-744.0
123,-752.0
124,-764.0
125,-770.0
126,-782.0
127,-788.0
128,-800.0
129,-804.0
130,-816.0
131,-822.0
132,-832.0
133,-840.0
134,-850.0
135,-854.0
136,-864.0
137,-868.0
138,-876.0
139,-882.0
140,-890.0
141,-896.0
142,-904.0
143,-908.0
144,792.0
145,788.0
146,776.0
147,770.0
148,756.0
149,752.0
150,738.0
151,730.0
152,718.0
153,712.0
154,698.0
155,692.0
156,678.0
157,670.0
158,656.0
159,648.0
160,634.0
161,628.0
162,612.0
163,604.0
164,588.0
165,582.0
166,566.0
167,556.0
168,542.0
169,534.0
170,516.0
171,510.0
172,492.0
173,484.0
174,466.0
175,458.0
176,440.0
177,432.0
178,414.0
179,406.0
180,388.0
181,380.0
182,362.0
183,352.0
184,334.0
185,326.0
186,308.0
187,298.0
188,280.0
189,270.0
190,254.0
191,242.0
192,-962.0
193,-962.0
194,-954.0
195,-952.0
196,-946.0
197,-942.0
198,-938.0
199,-934.0
200,-926.0
201,-922.0
202,-914.0
203,-910.0
204,-902.0
205,-898.0
206,-890.0
207,-886.0
208,-876.0
209,-872.0
210,-862.0
211,-858.0
212,-846.0
213,-840.0
214,-830.0
215,-826.0
216,-816.0
217,-808.0
218,-798.0
219,-792.0
220,-780.0
221,-774.0
222,-760.0
223,-756.0
224,-232.0
225,-242.0
226,-258.0
227,-268.0
228,-288.0
229,-296.0
230,-314.0
231,-324.0
232,-342.0
233,-352.0
234,-368.0
235,-378.0
236,-394.0
237,-404.0
238,-422.0
239,-430.0
240,-448.0
241,-456.0
242,-474.0
243,-482.0
244,-498.0
245,-508.0
246,-524.0
247,-530.0
248,-548.0
249,-556.0
250,-572.0
251,-580.0
252,-596.0
253,-602.0
254,-618.0
255,-624.0
256,-640.0
257,-646.0
258,-660.0
259,-670.0
260,-682.0
261,-690.0
262,-704.0
263,-710.0
264,-724.0
265,-730.0
266,-742.0
267,-750.0
268,-762.0
269,-768.0
270,-780.0
271,-788.0
272,-798.0
273,-804.0
274,-816.0
275,-822.0
276,-832.0
277,-838.0
278,-848.0
279,-852.0
280,-862.0
281,-866.0
282,-876.0
283,-880.0
284,-890.0
285,-894.0
286,-902.0
287,-906.0
288,-914.0
289,-918.0
290,-926.0
291,-930.0
292,-938.0
293,-940.0
294,-946.0
295,-950.0
296,-956.0
297,-958.0
298,-964.0
299,-966.0
300,-972.0
301,-974.0
302,-978.0
303,-980.0
304,-984.0
305,-986.0
306,-988.0
307,-990.0
308,-992.0
309,-994.0
310,-996.0
311,-998.0
312,-998.0
313,-998.0
314,-1000.0
315,-1000.0
316,-1000.0
317,-1000.0
318,-1000.0
319,-1000.0
320,-1000.0
321,-1000.0
322,-998.0
323,-998.0
324,-996.0
325,-996.0
326,-992.0
327,-992.0
328,-988.0
329,-986.0
330,-984.0
331,-980.0
332,-976.0
333,-976.0
334,-972.0
335,-970.0
336,-962.0
337,-962.0
338,-956.0
339,-952.0
340,-948.0
341,-942.0
342,-938.0
343,-936.0
344,-926.0
345,-924.0
346,-914.0
347,-912.0
348,-902.0
349,-900.0
350,-890.0
351,-888.0
352,-876.0
353,-874.0
354,-864.0
355,-858.0
356,-848.0
357,-842.0
358,-832.0
359,-828.0
360,-816.0
361,-812.0
362,-798.0
363,-794.0
364,-780.0
365,-776.0
366,-764.0
367,-758.0
368,-744.0
369,-738.0
370,-724.0
371,-718.0
372,-706.0
373,-698.0
374,-684.0
375,-678.0
376,-662.0
377,-654.0
378,-640.0
379,-634.0
380,-620.0
381,-610.0
382,-596.0
383,-586.0
384,-572.0
385,-564.0
386,-548.0
387,-540.0
388,-524.0
389,-516.0
390,-500.0
391,-490.0
392,-474.0
393,-464.0
394,-448.0
395,-440.0
396,-424.0
397,-414.0
398,-396.0
399,-390.0
400,-370.0
401,-362.0
402,-342.0
403,-334.0
404,-316.0
405,-306.0
406,-288.0
407,-280.0
408,-262.0
409,-252.0
410,-232.0
411,-222.0
412,-206.0
413,-196.0
414,-176.0
415,-168.0
416,-148.0
417,-138.0
418,-120.0
419,-110.0
420,-92.0
421,-82.0
422,-62.0
423,-52.0
424,-34.0
425,-24.0
426,-4.0
427,4.0
428,24.0
429,34.0
430,52.0
431,62.0
432,82.0
433,92.0
434,108.0
435,120.0
436,138.0
437,148.0
438,166.0
439,178.0
440,194.0
441,206.0
442,222.0
443,232.0
444,252.0
445,260.0
446,278.0
447,288.0
448,306.0
449,316.0
450,334.0
451,342.0
452,362.0
453,370.0
454,388.0
455,396.0
456,414.0
457,422.0
458,440.0
459,448.0
460,464.0
461,474.0
462,490.0
463,498.0
464,514.0
465,524.0
466,540.0
467,548.0
468,562.0
469,572.0
470,586.0
471,594.0
472,610.0
473,618.0
474,632.0
475,642.0
476,656.0
477,662.0
478,676.0
479,682.0
480,696.0
481,704.0
482,716.0
483,724.0
484,738.0
485,742.0
486,756.0
487,762.0
488,774.0
489,780.0
490,792.0
491,798.0
492,810.0
493,814.0
494,826.0
495,832.0
496,64.0
497,54.0
498,36.0
499,26.0
500,6.0
501,-2.0
502,-22.0
503,-32.0
504,-50.0
505,-62.0
506,-80.0
507,-88.0
508,-108.0
509,-118.0
510,-136.0
511,-146.0
512,-166.0
513,-174.0
514,-194.0
515,-202.0
516,-222.0
517,-232.0
518,-250.0
519,-258.0
520,-278.0
521,-286.0
522,-306.0
523,-314.0
524,-332.0
525,-342.0
526,-358.0
527,-368.0
528,-386.0
529,-394.0
530,-412.0
531,-420.0
532,-438.0
533,-446.0
534,-464.0
535,-474.0
536,-488.0
537,-498.0
538,-514.0
539,-524.0
540,-538.0
541,-548.0
542,-562.0
543,-572.0
544,-584.0
545,-594.0
546,-610.0
547,-616.0
548,-632.0
549,-640.0
550,-654.0
551,-660.0
552,-676.0
553,-682.0
554,-696.0
555,-704.0
556,-716.0
557,-722.0
558,-736.0
559,-742.0
560,-756.0
561,-762.0
562,-774.0
563,-780.0
564,-792.0
565,-798.0
566,-810.0
567,-816.0
568,-826.0
569,-830.0
570,-842.0
571,-846.0
572,-858.0
573,-862.0
574,-872.0
575,-876.0
576,-886.0
577,-888.0
578,-900.0
