#idx,value
0,44
1,13
2,-20
3,-30
4,-6
5,30
6,47
7,31
8,-6
9,-30
10,-20
11,14
12,43
13,43
14,12
15,-21
16,-31
17,-5
18,30
19,47
20,31
21,-6
22,-30
23,-22
24,13
25,42
26,43
27,12
28,-21
29,-30
30,-5
31,30
32,47
33,31
34,-6
35,-30
36,-20
37,11
38,42
39,43
40,13
41,-22
42,-30
43,-5
44,30
45,47
46,30
47,-6
48,-30
49,-21
50,13
51,43
52,42
53,12
54,-22
55,-30
56,-5
57,31
58,48
59,30
60,-6
61,-31
62,-21
63,14
64,44
65,43
66,12
67,-22
68,-30
69,-6
70,31
71,47
72,31
73,-6
74,-30
75,-20
76,14
77,43
78,42
79,11
80,-22
81,-29
82,-6
83,31
84,47
85,30
86,-6
87,-30
88,-21
89,13
90,42
91,42
92,12
93,-22
94,-30
95,-4
96,31
97,47
98,29
99,-7
100,-30
101,-20
102,14
103,44
104,43
105,12
106,-22
107,-29
108,-5
109,32
110,47
111,30
112,-7
113,-30
114,-21
115,14
116,44
117,43
118,12
119,-22
120,-30
121,-5
122,31
123,47
124,29
125,-6
126,-30
127,-20
128,15
129,44
130,42
131,11
132,-23
133,-29
134,-4
135,31
136,47
137,29
138,-7
139,-30
140,-20
141,15
142,43
143,42
144,12
145,-23
146,-30
147,-4
148,32
149,48
150,29
151,-6
152,-31
153,-20
154,15
155,43
156,43
157,12
158,-23
159,-29
160,-3
161,32
162,48
163,29
164,-7
165,-30
166,-19
167,15
168,44
169,42
170,10
171,-23
172,-29
173,-3
174,32
175,48
176,29
177,-7
178,-30
179,-20
180,15
181,43
182,41
183,11
184,-22
185,-30
186,-3
187,32
188,46
189,28
190,-8
191,-30
192,-19
193,15
194,44
195,42
196,11
197,-22
198,-29
199,-3
200,33
201,47
202,27
203,-7
204,-31
205,-20
206,15
207,44
208,40
209,10
210,-23
211,-29
212,-3
213,33
214,47
215,28
216,-8
217,-30
218,-20
219,16
220,44
221,42
222,10
223,-23
224,-28
225,-2
226,33
227,48
228,28
229,-10
230,-31
231,-19
232,16
233,44
234,41
235,10
236,-23
237,-29
238,-2
239,33
240,47
241,27
242,-8
243,-30
244,-19
245,16
246,44
247,42
248,10
249,-23
250,-28
251,-2
252,33
253,47
254,28
255,-9
256,-30
257,-18
258,17
259,44
260,41
261,9
262,-23
263,-28
264,-2
265,34
266,48
267,28
268,-9
269,-30
270,-18
271,17
272,44
273,42
274,9
275,-24
276,-29
277,-2
278,34
279,48
280,27
281,-10
282,-31
283,-19
284,16
285,44
286,41
287,9
288,-24
289,-29
290,-2
291,33
292,47
293,27
294,-9
295,-30
296,-19
297,17
298,45
299,41
300,9
301,-24
302,-29
303,-2
304,34
305,48
306,28
307,-9
308,-30
309,-20
310,16
311,45
312,41
313,8
314,-24
315,-28
316,-1
317,33
318,47
319,27
320,-9
321,-31
322,-18
323,17
324,44
325,41
326,9
327,-24
328,-28
329,-2
330,34
331,47
332,27
333,-10
334,-31
335,-18
336,17
337,45
338,41
339,9
340,-23
341,-29
342,-1
343,34
344,47
345,27
346,-10
347,-30
348,-17
349,17
350,44
351,40
352,8
353,-24
354,-29
355,-1
356,35
357,47
358,25
359,-10
360,-31
361,-17
362,18
363,45
364,40
365,7
366,-25
367,-28
368,0
369,35
370,46
371,26
372,-11
373,-31
374,-17
375,17
376,45
377,40
378,7
379,-24
380,-29
381,-1
382,35
383,48
384,26
385,-10
386,-31
387,-17
388,18
389,45
390,39
391,8
392,-24
393,-28
394,0
395,34
396,47
397,26
398,-11
399,-32
400,-18
401,19
402,45
403,40
404,8
405,-25
406,-28
407,0
408,36
409,47
410,25
411,-11
412,-32
413,-17
414,19
415,46
416,40
417,7
418,-25
419,-28
420,0
421,35
422,46
423,25
424,-11
425,-31
426,-17
427,19
428,45
429,40
430,7
431,-24
432,-28
433,0
434,36
435,47
436,25
437,-11
438,-30
439,-17
440,18
441,45
442,40
443,7
444,-25
445,-27
446,0
447,36
448,48
449,26
450,-11
451,-31
452,-16
453,19
454,45
455,40
456,7
457,-25
458,-27
459,1
460,36
461,47
462,25
463,-11
464,-31
465,-16
466,19
467,46
468,39
469,6
470,-25
471,-27
472,1
473,35
474,48
475,25
476,-12
477,-30
478,-16
479,20
480,46
481,40
482,6
483,-25
484,-28
485,0
486,35
487,47
488,25
489,-11
490,-31
491,-16
492,20
493,46
494,38
495,6
496,-25
497,-26
498,1
499,36
500,48
501,25
502,-13
503,-31
504,-16
505,20
506,46
507,39
508,6
509,-25
510,-28
511,1
512,37
513,47
514,24
515,-12
516,-31
517,-16
518,20
519,45
520,38
521,5
522,-25
523,-27
524,1
525,36
526,47
527,24
528,-12
529,-30
530,-14
531,20
532,46
533,39
534,5
535,-26
536,-27
537,3
538,36
539,47
540,25
541,-12
542,-31
543,-15
