idx,value
0,5
1,0
2,0
3,8
4,16
5,17
6,10
7,1
8,-1
9,4
10,13
11,18
12,14
13,6
14,0
15,0
16,9
17,17
18,18
19,10
20,2
21,-1
22,4
23,13
24,17
25,15
26,6
27,0
28,1
29,8
30,16
31,17
32,10
33,2
34,-1
35,5
36,13
37,19
38,15
39,5
40,-1
41,1
42,9
43,15
44,17
45,11
46,1
47,-2
48,5
49,13
50,18
51,14
52,5
53,-1
54,1
55,9
56,16
57,17
58,10
59,1
60,-1
61,4
62,13
63,17
64,15
65,5
66,-1
67,0
68,9
69,16
70,17
71,11
72,2
73,-1
74,4
75,13
76,18
77,14
78,5
79,-1
80,1
81,9
82,16
83,17
84,10
85,2
86,-2
87,4
88,13
89,17
90,14
91,5
92,-1
93,0
94,9
95,17
96,17
97,10
98,1
99,-1
100,4
101,14
102,18
103,14
104,5
105,0
106,0
107,9
108,16
109,18
110,10
111,1
112,-1
113,5
114,13
115,18
116,14
117,5
118,-1
119,0
120,9
121,17
122,16
123,10
124,1
125,-1
126,4
127,14
128,18
129,14
130,5
131,-1
132,1
133,9
134,17
135,18
136,9
137,1
138,-1
139,4
140,13
141,18
142,13
143,5
144,-1
145,1
146,9
147,16
148,17
149,9
150,2
151,0
152,5
153,13
154,18
155,15
156,5
157,-1
158,1
159,9
160,18
161,17
162,11
163,2
164,-1
165,4
166,14
167,18
168,14
169,4
170,-1
171,2
172,10
173,17
174,18
175,9
176,1
177,-1
178,5
179,13
180,18
181,14
182,5
183,-1
184,0
185,10
186,17
187,18
188,9
189,2
190,-1
191,5
192,13
193,18
194,14
195,5
196,-1
197,2
198,9
199,17
200,17
201,11
202,2
203,-1
204,5
205,14
206,18
207,14
208,5
209,0
210,1
211,10
212,16
213,18
214,9
215,1
216,-1
217,5
218,14
219,18
220,14
221,5
222,0
223,1
224,10
225,18
226,17
227,9
228,1
229,-1
230,6
231,14
232,18
233,15
234,5
235,-1
236,1
237,10
238,18
239,18
240,9
241,1
242,-2
243,5
244,14
245,17
246,13
247,5
248,-1
249,1
250,10
251,17
252,17
253,10
254,1
255,0
256,5
257,15
258,18
259,14
260,5
261,0
262,1
263,9
264,17
265,18
266,9
267,1
268,-1
269,5
270,14
271,17
272,14
273,4
274,0
275,2
276,10
277,18
278,17
279,10
280,1
281,-1
282,4
283,14
284,18
285,14
286,5
287,-1
288,1
289,10
290,17
291,17
292,9
293,1
294,-1
295,5
296,13
297,18
298,14
299,5
300,-1
301,1
302,10
303,18
304,16
305,10
306,1
307,0
308,5
309,13
310,17
311,13
312,5
313,-1
314,1
315,9
316,17
317,17
318,8
319,0
320,-1
321,5
322,14
323,17
324,14
325,5
326,-1
327,1
328,9
329,17
330,16
331,9
332,1
333,-1
334,4
335,13
336,18
337,14
338,5
339,-1
340,2
341,10
342,17
343,17
344,9
345,0
346,-1
347,5
348,14
349,18
350,14
351,5
352,-1
353,1
354,10
355,17
356,17
357,9
358,0
359,-1
360,6
361,14
362,19
363,14
364,5
365,-1
366,1
367,11
368,18
369,17
370,9
371,1
372,-1
373,5
374,15
375,18
376,14
377,5
378,-1
379,2
380,10
381,18
382,16
383,9
384,1
385,-1
386,6
387,14
388,18
389,14
390,4
391,-1
392,1
393,10
394,17
395,16
396,10
397,1
398,0
399,6
400,16
401,18
402,13
403,6
404,-1
405,2
406,10
407,18
408,16
409,10
410,0
411,-1
412,6
413,15
414,18
415,14
416,5
417,-1
418,2
419,10
420,17
421,17
422,9
423,0
424,-1
425,6
426,15
427,19
428,13
429,5
430,-1
431,2
432,10
433,17
434,17
435,9
436,1
437,0
438,6
439,15
440,18
441,14
442,4
443,-1
444,1
445,10
446,18
447,16
448,10
449,1
450,-1
451,5
452,14
453,18
454,14
455,4
456,-1
457,2
458,10
459,18
460,16
461,8
462,1
463,-1
464,5
465,15
466,18
467,13
468,4
469,-2
470,2
471,10
472,17
473,16
474,9
475,1
476,-1
477,6
478,14
479,17
480,13
481,4
482,-1
483,2
484,11
485,18
486,16
487,8
488,1
