file,segment,fft_n,phase_nco_assumed,phase_down_assumed,total_records,invalid_total,excluded_leading_records,used_records,expected_hz,mean_hz,bias_hz,population_std_mhz,min_hz,max_hz,peak_bins
test1/10323406.txt,1,2048,10324440,10323406,101,7,7,94,1001.507043838501,1001.2465957446808,-0.2604480938201732,3.936515223520517,1001.236,1001.256,205
test1/10323407.txt,1,2048,10324440,10323407,90,0,7,83,1000.5384683609009,1000.7545060240964,0.21603766319549322,3.2722767357823686,1000.745,1000.762,205
test1/10323408.txt,1,2048,10324440,10323408,86,0,7,79,999.5698928833008,1000.1198227848101,0.5499299015093584,6.573362998160974,1000.105,1000.142,205
test1/10323409.txt,1,2048,10324440,10323409,99,0,7,92,998.6013174057007,998.7031847826087,0.10186737690798964,18.901880138719406,998.658,998.757,205
test1/10323410.txt,1,2048,10324440,10323410,81,0,7,74,997.6327419281006,997.0661216216216,-0.566620306478967,6.935908722208556,997.048,997.081,204
test1/10323411.txt,1,2048,10324440,10323411,85,0,7,78,996.6641664505005,996.3850512820512,-0.2791151684492661,4.075874724108745,996.375,996.392,204
test1/10323412.txt,1,2048,10324440,10323412,79,0,7,72,995.6955909729004,995.8938055555556,0.19821458265516867,2.6595680982304857,995.888,995.901,204
test2/1024.txt,1,1024,10324440,10323408,116,0,66,50,999.5698928833008,996.16308,-3.406812883300745,3.2914434523601974,996.155,996.169,102
test2/1024.txt,2,2048,10324440,10323408,2,0,0,2,999.5698928833008,997.5525,-2.017392883300772,275.49999999996544,997.277,997.828,204
test2/2048.txt,1,2048,10324440,10323408,99,0,49,50,999.5698928833008,1000.12046,0.5505671166991988,7.470501991160764,1000.102,1000.136,205
test2/256.txt,1,256,10324440,10323408,108,0,58,50,999.5698928833008,1010.12854,10.558647116699262,365.8429832592132,1009.706,1010.556,26
test2/64.txt,1,64,10324440,10323408,126,0,76,50,999.5698928833008,956.20918,-43.360712883300835,3735.879530659406,951.321,961.967,6
