idx,value
0,84
1,-154
2,-266
3,-292
4,-218
5,-76
6,76
7,194
8,211
9,151
10,14
11,-138
12,-246
13,-273
14,-203
15,-77
16,72
17,173
18,197
19,129
20,6
21,-131
22,-225
23,-255
24,-181
25,-71
26,64
27,147
28,168
29,109
30,-2
31,-115
32,-198
33,-210
34,-161
35,-59
36,47
37,117
38,123
39,87
40,-11
41,-100
42,-164
43,-171
44,-123
45,-58
46,28
47,76
48,84
49,42
50,-13
51,-85
52,-122
53,-123
54,-89
55,-34
56,8
57,33
58,27
59,7
60,-37
61,-60
62,-63
63,-58
64,-40
65,-28
66,-13
67,-27
68,-37
69,-48
70,-46
71,-42
72,-13
73,7
74,19
75,6
76,-36
77,-75
78,-108
79,-107
80,-72
81,-11
82,33
83,80
84,68
85,19
86,-55
87,-128
88,-169
89,-164
90,-92
91,5
92,102
93,131
94,121
95,39
96,-81
97,-183
98,-230
99,-203
100,-109
101,32
102,151
103,207
104,172
105,57
106,-109
107,-250
108,-304
109,-265
110,-120
111,63
112,219
113,284
114,227
115,70
116,-139
117,-315
118,-379
119,-317
120,-138
121,91
122,280
123,352
124,277
125,79
126,-171
127,-376
128,-448
129,-361
130,-143
131,124
132,342
133,427
134,329
135,85
136,-200
137,-433
138,-522
139,-424
140,-165
141,152
142,396
143,492
144,379
145,93
146,-231
147,-487
148,-588
149,-470
150,-172
151,169
152,455
153,555
154,427
155,122
156,-250
157,-545
158,-650
159,-515
160,-196
161,203
162,501
163,611
164,477
165,133
166,-276
167,-595
168,-711
169,-560
170,-203
171,211
172,560
173,667
174,514
175,146
176,-285
177,-636
178,-756
179,-598
180,-224
181,239
182,601
183,725
184,558
185,156
186,-306
187,-682
188,-805
189,-632
190,-233
191,254
192,628
193,758
194,583
195,166
196,-327
197,-710
198,-841
199,-667
200,-236
201,262
202,664
203,797
204,614
205,186
206,-335
207,-738
208,-875
209,-691
210,-249
211,276
212,689
213,823
214,631
215,186
216,-338
217,-757
218,-897
219,-693
220,-250
221,284
222,701
223,832
224,639
225,197
226,-347
227,-773
228,-907
229,-711
230,-252
231,283
232,710
233,841
234,653
235,203
236,-347
237,-772
238,-912
239,-723
240,-267
241,284
242,704
243,848
244,663
245,211
246,-335
247,-763
248,-912
249,-729
250,-290
251,261
252,694
253,843
254,679
255,220
256,-313
257,-754
258,-901
259,-732
260,-296
261,240
262,672
263,823
264,667
265,240
266,-296
267,-720
268,-877
269,-724
270,-302
271,222
272,640
273,806
274,656
275,241
276,-278
277,-698
278,-852
279,-710
280,-300
281,207
282,613
283,772
284,630
285,234
286,-250
287,-655
288,-818
289,-667
290,-287
291,190
292,567
293,729
294,586
295,213
296,-244
297,-623
298,-766
299,-627
300,-262
301,172
302,537
303,673
304,535
305,186
306,-241
307,-568
308,-698
309,-567
310,-235
311,166
312,484
313,599
314,473
315,153
316,-228
317,-527
318,-621
319,-516
320,-211
321,157
322,440
323,530
324,421
325,137
326,-216
327,-472
328,-572
329,-449
330,-183
331,141
332,379
333,470
334,364
335,111
336,-180
337,-419
338,-501
339,-397
340,-156
341,110
342,323
343,403
344,308
345,90
346,-163
347,-360
348,-429
349,-341
350,-141
351,83
352,266
353,324
354,246
355,76
356,-131
357,-300
358,-352
359,-279
360,-126
361,62
362,198
363,248
364,187
365,56
366,-106
367,-224
368,-279
369,-222
370,-108
371,27
372,134
373,181
374,129
375,38
376,-77
377,-175
378,-203
379,-175
380,-94
381,9
382,81
383,104
384,84
385,22
386,-51
387,-111
388,-130
389,-119
390,-79
391,-23
392,23
393,35
394,29
395,10
396,-25
397,-55
398,-60
399,-64
400,-55
401,-47
402,-36
403,-30
404,-22
405,3
406,0
407,1
408,2
409,-19
410,-43
411,-68
412,-98
413,-91
414,-64
415,-25
416,18
417,48
418,48
419,24
420,-29
421,-95
422,-134
423,-137
424,-108
425,-36
426,42
427,93
428,103
429,66
430,-13
431,-107
432,-173
433,-194
434,-141
435,-50
436,62
437,126
438,134
439,93
440,-6
441,-126
442,-212
443,-224
444,-184
445,-65
446,69
447,167
448,185
449,131
450,10
451,-131
452,-241
453,-273
454,-203
