idx,value
0,176
1,-72
2,-269
3,-368
4,-347
5,-200
6,5
7,200
8,296
9,275
10,138
11,-69
12,-254
13,-359
14,-326
15,-195
16,5
17,186
18,283
19,252
20,123
21,-70
22,-247
23,-345
24,-324
25,-189
26,6
27,179
28,275
29,254
30,120
31,-66
32,-239
33,-339
34,-305
35,-184
36,5
37,176
38,262
39,247
40,118
41,-64
42,-232
43,-322
44,-302
45,-172
46,2
47,174
48,263
49,234
50,112
51,-65
52,-233
53,-309
54,-289
55,-174
56,4
57,158
58,252
59,236
60,112
61,-66
62,-226
63,-307
64,-286
65,-173
66,4
67,160
68,250
69,233
70,105
71,-68
72,-225
73,-307
74,-286
75,-172
76,2
77,156
78,251
79,232
80,108
81,-65
82,-226
83,-303
84,-287
85,-170
86,-4
87,152
88,249
89,230
90,116
91,-64
92,-226
93,-302
94,-287
95,-170
96,-3
97,151
98,253
99,231
100,115
101,-59
102,-226
103,-306
104,-292
105,-184
106,-5
107,152
108,254
109,237
110,117
111,-52
112,-225
113,-308
114,-295
115,-192
116,-12
117,154
118,252
119,250
120,130
121,-45
122,-219
123,-316
124,-311
125,-194
126,-22
127,159
128,261
129,251
130,143
131,-42
132,-210
133,-327
134,-324
135,-208
136,-22
137,158
138,269
139,266
140,151
141,-34
142,-210
143,-331
144,-331
145,-210
146,-34
147,161
148,270
149,272
150,161
151,-24
152,-213
153,-344
154,-346
155,-235
156,-48
157,156
158,275
159,289
160,184
161,-18
162,-210
163,-349
164,-359
165,-251
166,-56
167,157
168,286
169,302
170,196
171,-7
172,-212
173,-348
174,-368
175,-269
176,-61
177,154
178,298
179,313
180,203
181,2
182,-212
183,-367
184,-394
185,-275
186,-73
187,152
188,309
189,335
190,223
191,20
192,-210
193,-385
194,-410
195,-297
196,-79
197,153
198,311
199,356
200,240
201,31
202,-221
203,-390
204,-433
205,-312
206,-96
207,151
208,340
209,377
210,264
211,39
212,-222
213,-402
214,-451
215,-335
216,-98
217,149
218,350
219,402
220,278
221,48
222,-222
223,-423
224,-473
225,-354
226,-116
227,156
228,367
229,429
230,304
231,59
232,-226
233,-437
234,-509
235,-377
236,-135
237,164
238,386
239,449
240,334
241,75
242,-234
243,-465
244,-524
245,-410
246,-145
247,162
248,407
249,479
250,359
251,84
252,-229
253,-486
254,-566
255,-441
256,-155
257,169
258,429
259,513
260,384
261,97
262,-237
263,-506
264,-591
265,-469
266,-171
267,168
268,451
269,539
270,420
271,122
272,-241
273,-519
274,-621
275,-493
276,-187
277,175
278,471
279,576
280,444
281,135
282,-243
283,-547
284,-650
285,-523
286,-206
287,181
288,495
289,610
290,477
291,144
292,-242
293,-567
294,-688
295,-549
296,-223
297,190
298,519
299,637
300,502
301,165
302,-251
303,-596
304,-724
305,-587
306,-235
307,193
308,540
309,672
310,540
311,182
312,-260
313,-622
314,-755
315,-623
316,-256
317,193
318,559
319,710
320,567
321,199
322,-261
323,-639
324,-795
325,-645
326,-275
327,200
328,589
329,737
330,600
331,217
332,-265
333,-656
334,-820
335,-687
336,-292
337,198
338,607
339,771
340,633
341,235
342,-269
343,-689
344,-854
345,-709
346,-314
347,206
348,633
349,810
350,665
351,259
352,-272
353,-708
354,-885
355,-742
356,-333
357,201
358,649
359,835
360,696
361,271
362,-269
363,-724
364,-907
365,-774
366,-347
367,203
368,663
369,865
370,718
371,286
372,-268
373,-729
374,-934
375,-794
376,-356
377,210
378,681
379,886
380,743
381,308
382,-270
383,-761
384,-963
385,-818
386,-370
387,205
388,696
389,909
390,770
391,320
392,-269
393,-768
394,-981
395,-843
396,-391
397,207
398,712
399,932
400,789
401,332
402,-274
403,-786
404,-1013
405,-863
406,-401
407,203
408,734
409,961
410,822
411,344
412,-278
413,-799
414,-1044
415,-892
416,-417
417,208
418,756
419,989
420,850
421,355
422,-284
423,-825
424,-1070
425,-922
426,-433
427,216
428,770
429,1023
430,868
431,361
432,-289
433,-846
434,-1092
435,-943
436,-438
437,216
438,781
439,1040
440,882
441,375
442,-288
443,-860
444,-1124
445,-965
446,-447
447,221
448,811
449,1074
450,915
451,386
452,-292
453,-877
454,-1153
455,-990
456,-459
457,230
458,826
459,1104
460,943
461,406
462,-295
463,-899
464,-1177
465,-1013
466,-483
467,237
468,841
469,1124
470,958
471,417
472,-297
473,-916
474,-1199
475,-1030
476,-486
477,232
478,863
479,1146
480,978
481,430
482,-308
483,-936
484,-1215
485,-1053
486,-495
487,233
488,870
489,1165
