idx,value
0,-40
1,11
2,59
3,81
4,63
5,17
6,-33
7,-85
8,-113
9,-108
10,-68
11,-14
12,36
13,76
14,75
15,45
16,-6
17,-60
18,-103
19,-114
20,-96
21,-43
22,7
23,57
24,83
25,67
26,20
27,-29
28,-85
29,-112
30,-109
31,-72
32,-16
33,32
34,75
35,80
36,48
37,-1
38,-54
39,-98
40,-113
41,-96
42,-46
43,3
44,55
45,83
46,67
47,24
48,-27
49,-78
50,-109
51,-109
52,-76
53,-23
54,30
55,70
56,79
57,48
58,1
59,-50
60,-96
61,-114
62,-96
63,-50
64,1
65,48
66,80
67,70
68,31
69,-23
70,-76
71,-110
72,-109
73,-80
74,-25
75,25
76,68
77,81
78,53
79,4
80,-47
81,-95
82,-114
83,-101
84,-53
85,-1
86,48
87,79
88,71
89,34
90,-20
91,-73
92,-109
93,-113
94,-80
95,-30
96,23
97,69
98,82
99,57
100,6
101,-43
102,-97
103,-113
104,-104
105,-57
106,-4
107,45
108,79
109,75
110,36
111,-14
112,-68
113,-108
114,-112
115,-85
116,-34
117,21
118,63
119,80
120,59
121,11
122,-40
123,-89
124,-113
125,-104
126,-64
127,-8
128,42
129,76
130,75
131,37
132,-11
133,-64
134,-103
135,-113
136,-87
137,-37
138,13
139,58
140,82
141,62
142,18
143,-37
144,-87
145,-113
146,-104
147,-67
148,-10
149,37
150,75
151,77
152,42
153,-7
154,-60
155,-104
156,-112
157,-89
158,-40
159,11
160,59
161,81
162,63
163,21
164,-34
165,-85
166,-113
167,-108
168,-68
169,-17
170,33
171,74
172,80
173,45
174,-4
175,-57
176,-104
177,-113
178,-96
179,-43
180,7
181,57
182,83
183,68
184,24
185,-27
186,-79
187,-109
188,-110
189,-73
190,-20
191,34
192,74
193,80
194,48
195,-1
196,-54
197,-97
198,-113
199,-96
200,-51
201,5
202,53
203,81
204,68
205,25
206,-25
207,-80
208,-109
209,-109
210,-76
211,-23
212,25
213,68
214,80
215,49
216,5
217,-51
218,-96
219,-114
220,-98
221,-54
222,1
223,48
224,80
225,71
226,30
227,-21
228,-73
229,-109
230,-112
231,-81
232,-26
233,23
234,69
235,79
236,55
237,7
238,-47
239,-95
240,-115
241,-101
242,-55
243,-4
244,49
245,79
246,75
247,32
248,-16
249,-72
250,-109
251,-112
252,-85
253,-28
254,19
255,67
256,81
257,60
258,9
259,-43
260,-91
261,-115
262,-103
263,-61
264,-6
265,46
266,79
267,75
268,36
269,-14
270,-67
271,-105
272,-113
273,-87
274,-37
275,18
276,62
277,82
278,58
279,14
280,-39
281,-89
282,-113
283,-103
284,-64
285,-7
286,39
287,74
288,77
289,42
290,-8
291,-64
292,-104
293,-112
294,-90
295,-39
296,14
297,58
298,82
299,62
300,18
301,-33
302,-85
303,-113
304,-104
305,-67
306,-13
307,36
308,76
309,75
310,45
311,-5
312,-61
313,-103
314,-115
315,-91
316,-43
317,9
318,60
319,81
320,67
321,19
322,-28
323,-85
324,-112
325,-109
326,-72
327,-16
328,32
329,75
330,79
331,50
332,-4
333,-55
334,-101
335,-115
336,-95
337,-48
338,7
339,57
340,82
341,68
342,24
343,-27
344,-79
345,-109
346,-109
347,-76
348,-23
349,31
350,70
351,80
352,47
353,2
354,-54
355,-98
356,-114
357,-97
358,-50
359,4
360,53
361,80
362,68
363,25
364,-24
365,-75
366,-110
367,-109
368,-80
369,-24
370,25
371,68
372,80
373,53
374,4
375,-47
376,-95
377,-114
378,-97
379,-54
380,-1
381,48
382,79
383,71
384,34
385,-20
386,-73
387,-110
388,-112
389,-81
390,-26
391,23
392,68
393,82
394,57
395,7
396,-43
397,-96
398,-113
399,-104
400,-57
401,-4
402,45
403,80
404,75
405,37
406,-18
407,-68
408,-108
409,-113
410,-85
411,-33
412,20
413,67
414,82
415,59
416,11
417,-41
418,-89
419,-112
420,-104
421,-60
422,-7
423,42
424,77
425,75
426,37
427,-10
428,-67
429,-104
430,-113
431,-87
432,-37
433,18
